"filename", "language", "HTML", "PHP", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\29032\Desktop\daershang\database\README.md", "Markdown", 0, 0, 2, 0, 0, 1, 3
"c:\Users\29032\Desktop\daershang\database\ajax.js", "JavaScript", 0, 0, 0, 80, 1, 9, 90
"c:\Users\29032\Desktop\daershang\database\count\rank.php", "PHP", 0, 25, 0, 0, 5, 7, 37
"c:\Users\29032\Desktop\daershang\database\count\show.php", "PHP", 0, 27, 0, 0, 5, 7, 39
"c:\Users\29032\Desktop\daershang\database\course\delete.php", "PHP", 0, 19, 0, 0, 0, 1, 20
"c:\Users\29032\Desktop\daershang\database\course\insert.php", "PHP", 0, 22, 0, 0, 0, 4, 26
"c:\Users\29032\Desktop\daershang\database\course\show.php", "PHP", 0, 22, 0, 0, 5, 7, 34
"c:\Users\29032\Desktop\daershang\database\course\update.php", "PHP", 0, 19, 0, 0, 0, 3, 22
"c:\Users\29032\Desktop\daershang\database\course\update1.php", "PHP", 0, 22, 0, 0, 0, 3, 25
"c:\Users\29032\Desktop\daershang\database\grade\delete_grade.php", "PHP", 0, 20, 0, 0, 0, 1, 21
"c:\Users\29032\Desktop\daershang\database\grade\insert.php", "PHP", 0, 21, 0, 0, 0, 3, 24
"c:\Users\29032\Desktop\daershang\database\grade\show.php", "PHP", 0, 22, 0, 0, 5, 7, 34
"c:\Users\29032\Desktop\daershang\database\grade\update_grade.php", "PHP", 0, 20, 0, 0, 0, 3, 23
"c:\Users\29032\Desktop\daershang\database\grade\update_grade1.php", "PHP", 0, 21, 0, 0, 0, 3, 24
"c:\Users\29032\Desktop\daershang\database\login.html", "HTML", 99, 0, 0, 0, 0, 11, 110
"c:\Users\29032\Desktop\daershang\database\login\login.php", "PHP", 0, 41, 0, 0, 13, 11, 65
"c:\Users\29032\Desktop\daershang\database\paging.php", "PHP", 0, 38, 0, 0, 1, 3, 42
"c:\Users\29032\Desktop\daershang\database\register.html", "HTML", 108, 0, 0, 0, 1, 9, 118
"c:\Users\29032\Desktop\daershang\database\register\register.php", "PHP", 0, 57, 0, 0, 9, 13, 79
"c:\Users\29032\Desktop\daershang\database\selection\show.php", "PHP", 0, 25, 0, 0, 5, 6, 36
"c:\Users\29032\Desktop\daershang\database\show.html", "HTML", 238, 0, 0, 0, 0, 9, 247
"c:\Users\29032\Desktop\daershang\database\show2.html", "HTML", 252, 0, 0, 0, 0, 10, 262
"c:\Users\29032\Desktop\daershang\database\show3.html", "HTML", 243, 0, 0, 0, 0, 10, 253
"c:\Users\29032\Desktop\daershang\database\show4.html", "HTML", 134, 0, 0, 0, 0, 4, 138
"c:\Users\29032\Desktop\daershang\database\show5.html", "HTML", 140, 0, 0, 0, 0, 4, 144
"c:\Users\29032\Desktop\daershang\database\show6.html", "HTML", 174, 0, 0, 0, 0, 8, 182
"c:\Users\29032\Desktop\daershang\database\student\delete.php", "PHP", 0, 19, 0, 0, 0, 1, 20
"c:\Users\29032\Desktop\daershang\database\student\insert.php", "PHP", 0, 23, 0, 0, 0, 4, 27
"c:\Users\29032\Desktop\daershang\database\student\show.php", "PHP", 0, 22, 0, 0, 5, 7, 34
"c:\Users\29032\Desktop\daershang\database\student\update.php", "PHP", 0, 19, 0, 0, 0, 3, 22
"c:\Users\29032\Desktop\daershang\database\student\update1.php", "PHP", 0, 23, 0, 0, 0, 3, 26
"Total", "-", 1388, 527, 2, 80, 55, 175, 2227
