Date : 2023-12-19 12:53:48
Directory : c:\Users\29032\Desktop\daershang\database
Total : 1521 files,  294900 codes, 91895 comments, 38805 blanks, all 425600 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| PHP                |      1,240 |    193,742 |     74,599 |     25,038 |    293,379 |
| JavaScript         |        121 |     65,249 |     16,641 |      8,937 |     90,827 |
| HTML               |         48 |     21,263 |          1 |      3,020 |     24,284 |
| JSON               |         26 |      6,372 |          0 |         27 |      6,399 |
| CSS                |         21 |      4,864 |        238 |        583 |      5,685 |
| Markdown           |         35 |      1,774 |          0 |        848 |      2,622 |
| C                  |          1 |        860 |        201 |        157 |      1,218 |
| SQL                |          4 |        296 |        178 |        100 |        574 |
| YAML               |         14 |        238 |         22 |         59 |        319 |
| XML                |          6 |        157 |          0 |          9 |        166 |
| JSON with Comments |          1 |         42 |          0 |          1 |         43 |
| reStructuredText   |          3 |         28 |          2 |         18 |         48 |
| C++                |          1 |         15 |         13 |          8 |         36 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |      1,521 |    294,900 |     91,895 |     38,805 |    425,600 |
| . (Files)                                                                                                                                            |         11 |      1,562 |          3 |         82 |      1,647 |
| count                                                                                                                                                |          2 |         52 |         10 |         14 |         76 |
| course                                                                                                                                               |          5 |        104 |          5 |         18 |        127 |
| grade                                                                                                                                                |          6 |        127 |         10 |         23 |        160 |
| login                                                                                                                                                |          1 |         41 |         13 |         11 |         65 |
| phpMyAdmin4.8.5                                                                                                                                      |      1,489 |    292,826 |     91,835 |     38,620 |    423,281 |
| phpMyAdmin4.8.5 (Files)                                                                                                                              |         95 |     10,395 |      2,014 |      1,327 |     13,736 |
| phpMyAdmin4.8.5\doc                                                                                                                                  |         36 |     26,996 |      2,346 |      5,085 |     34,427 |
| phpMyAdmin4.8.5\doc\html                                                                                                                             |         36 |     26,996 |      2,346 |      5,085 |     34,427 |
| phpMyAdmin4.8.5\doc\html (Files)                                                                                                                     |         26 |     17,103 |          0 |      2,606 |     19,709 |
| phpMyAdmin4.8.5\doc\html\_static                                                                                                                     |         10 |      9,893 |      2,346 |      2,479 |     14,718 |
