"filename", "language", "JSON with Comments", "PHP", "reStructuredText", "C++", "YAML", "JSON", "C", "Markdown", "XML", "CSS", "SQL", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\.eslintrc.json", "JSON with Comments", -42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -43
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, -19, -47
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, -16, -44
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\ajax.php", "PHP", 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -7, -52
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\browse_foreigners.php", "PHP", 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -12, -75
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\changelog.php", "PHP", 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -19, -118
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\chk_rel.php", "PHP", 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -7, -37
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\composer.json", "JSON", 0, 0, 0, 0, 0, -97, 0, 0, 0, 0, 0, 0, 0, 0, -1, -98
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\composer.lock", "JSON", 0, 0, 0, 0, 0, -2667, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2668
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\config.sample.inc.php", "PHP", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -126, -19, -155
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_central_columns.php", "PHP", 0, -166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -7, -182
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_datadict.php", "PHP", 0, -140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -46, -30, -216
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_designer.php", "PHP", 0, -177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -31, -216
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_events.php", "PHP", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -3, -19
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_export.php", "PHP", 0, -122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -13, -151
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_import.php", "PHP", 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -8, -45
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_multi_table_query.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -6, -39
"c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_operations.php", "PHP", 0, -192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -73, -44, -309
